,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDCHF,Short Swap AUDCHF
2005-04-18,5.27,0.64,0.75,2.0024809498493712e-05,-2.0790729379686432e-05
2005-04-19,5.27,0.58,0.73,2.0113414850256952e-05,-2.1046353101567823e-05
2005-04-20,5.27,0.62,0.74,2.0069112174375332e-05,-2.0875937286980233e-05
2005-04-21,5.33,0.63,0.78,1.9966649113568545e-05,-2.089665653495441e-05
2005-04-22,5.27,0.64,0.79,1.9847598794967215e-05,-2.0790729379686432e-05
2005-04-23,5.48,0.63,0.77,2.0190329218106994e-05,-2.089665653495441e-05
2005-04-24,5.48,0.62,0.76,2.0233196159122085e-05,-2.0938872002701788e-05
2005-04-25,5.31,0.63,0.77,1.9985913012854376e-05,-2.0875677506775067e-05
2005-04-26,5.48,0.6,0.74,2.0318930041152264e-05,-2.1043771043771045e-05
2005-04-27,5.32,0.6,0.74,2.0130098452883265e-05,-2.1013022154574667e-05
2005-04-28,5.29,0.66,0.72,2.0181946652534887e-05,-2.072714916751614e-05
2005-04-29,5.27,0.58,0.72,2.015771752613858e-05,-2.1046353101567823e-05
2005-04-30,5.28,0.65,0.75,2.0037154989384287e-05,-2.070473251028807e-05
2005-05-01,5.28,0.65,0.75,2.0037154989384287e-05,-2.070473251028807e-05
2005-05-02,5.46,0.64,0.72,2.038183694530444e-05,-2.0833333333333333e-05
2005-05-03,5.27,0.63,0.74,2.0069112174375332e-05,-2.0833333333333333e-05
2005-05-04,5.45,0.6,0.74,2.028423772609819e-05,-2.0961145194274025e-05
2005-05-05,5.43,0.62,0.76,2.017452911698635e-05,-2.0938872002701788e-05
2005-05-06,5.29,0.62,0.76,2.0005299417064126e-05,-2.0897043832823645e-05
2005-05-07,5.45,0.66,0.75,2.02411714039621e-05,-2.0843776106934e-05
2005-05-08,5.45,0.66,0.75,2.02411714039621e-05,-2.0843776106934e-05
2005-05-09,5.31,0.63,0.78,1.99418911780243e-05,-2.0875677506775067e-05
2005-05-10,5.31,0.66,0.8,1.9853847508364148e-05,-2.074864498644986e-05
2005-05-11,5.27,0.6,0.74,2.0069112174375332e-05,-2.0961145194274025e-05
2005-05-12,5.29,0.59,0.73,2.0137784843667192e-05,-2.102446483180428e-05
2005-05-13,5.27,0.59,0.73,2.0113414850256952e-05,-2.1003749147920925e-05
2005-05-14,5.43,0.63,0.77,2.0131328840504578e-05,-2.089665653495441e-05
2005-05-15,5.43,0.63,0.77,2.0131328840504578e-05,-2.089665653495441e-05
2005-05-16,5.31,0.59,0.74,2.0117978517344603e-05,-2.1045054200542003e-05
2005-05-17,5.3,0.59,0.74,2.0105820105820105e-05,-2.1034775233248515e-05
2005-05-18,5.27,0.62,0.76,1.998050682261209e-05,-2.0875937286980233e-05
2005-05-19,5.26,0.58,0.72,2.0145544905928292e-05,-2.1036012971496842e-05
2005-05-20,5.27,0.62,0.71,2.0202020202020203e-05,-2.0875937286980233e-05
2005-05-21,5.4,0.62,0.76,2.0138888888888892e-05,-2.0949249704940145e-05
2005-05-22,5.42,0.62,0.76,2.0162686050536518e-05,-2.0928462709284625e-05
2005-05-23,5.44,0.62,0.72,2.035886818495514e-05,-2.0897043832823645e-05
2005-05-24,5.28,0.62,0.72,2.0169851380042464e-05,-2.0886506721116215e-05
2005-05-25,5.29,0.59,0.74,2.0093623034799505e-05,-2.102446483180428e-05
2005-05-26,5.28,0.61,0.76,1.99929228591649e-05,-2.092904543134252e-05
2005-05-27,5.29,0.64,0.7,2.0270270270270273e-05,-2.0812096500169895e-05
2005-05-28,5.4,0.61,0.75,2.018229166666667e-05,-2.0991401112797168e-05
2005-05-29,5.43,0.6,0.75,2.021772939346812e-05,-2.1023302938196557e-05
2005-05-30,5.29,0.6,0.73,2.0137784843667192e-05,-2.0981991165477406e-05
2005-05-31,5.46,0.6,0.74,2.0295837633298933e-05,-2.1023302938196557e-05
2005-06-01,5.27,0.61,0.75,2.0024809498493712e-05,-2.091854124062713e-05
2005-06-02,5.4,0.64,0.78,2.0052083333333337e-05,-2.0790729379686432e-05
2005-06-03,5.28,0.61,0.75,2.0037154989384287e-05,-2.091854124062713e-05
2005-06-04,5.45,0.61,0.75,2.02411714039621e-05,-2.094995759117896e-05
2005-06-05,5.43,0.61,0.75,2.021772939346812e-05,-2.0981087470449173e-05
2005-06-06,5.26,0.61,0.75,2.0012424565140217e-05,-2.090800477897252e-05
2005-06-07,5.27,0.61,0.75,2.0024809498493712e-05,-2.091854124062713e-05
2005-06-08,5.27,0.6,0.74,2.0069112174375332e-05,-2.0961145194274025e-05
2005-06-09,5.27,0.62,0.76,1.998050682261209e-05,-2.0875937286980233e-05
2005-06-10,5.43,0.62,0.77,2.0131328840504578e-05,-2.0938872002701788e-05
2005-06-11,5.43,0.63,0.77,2.0131328840504578e-05,-2.0938234306814367e-05
2005-06-12,5.43,0.63,0.77,2.0131328840504578e-05,-2.0938234306814367e-05
2005-06-13,5.43,0.64,0.78,2.0088128564022812e-05,-2.0854441067207026e-05
2005-06-14,5.4,0.61,0.75,2.018229166666667e-05,-2.094995759117896e-05
2005-06-15,5.44,0.61,0.76,2.0186335403726707e-05,-2.0991401112797168e-05
2005-06-16,5.3,0.67,0.74,2.0105820105820105e-05,-2.0695504664970313e-05
2005-06-17,5.3,0.64,0.7,2.028218694885362e-05,-2.082273112807464e-05
2005-06-18,5.45,0.63,0.73,2.0327304048234283e-05,-2.0969089390142022e-05
2005-06-19,5.45,0.63,0.73,2.0327304048234283e-05,-2.0969089390142022e-05
2005-06-20,5.42,0.59,0.74,2.0249221183800623e-05,-2.1055301877219685e-05
2005-06-21,5.25,0.63,0.73,2.008888888888889e-05,-2.0811965811965815e-05
2005-06-22,5.25,0.63,0.72,2.0133333333333333e-05,-2.0811965811965815e-05
2005-06-23,5.27,0.63,0.69,2.0290625553783446e-05,-2.0833333333333333e-05
2005-06-24,5.27,0.63,0.72,2.015771752613858e-05,-2.0833333333333333e-05
2005-06-25,5.48,0.66,0.72,2.0404663923182443e-05,-2.0770010131712255e-05
2005-06-26,5.48,0.63,0.76,2.0233196159122085e-05,-2.089665653495441e-05
2005-06-27,5.27,0.67,0.74,2.0069112174375332e-05,-2.066291751874574e-05
2005-06-28,5.27,0.61,0.72,2.015771752613858e-05,-2.091854124062713e-05
2005-06-29,5.27,0.61,0.76,1.998050682261209e-05,-2.091854124062713e-05
2005-06-30,5.28,0.6,0.74,2.008138711960368e-05,-2.097158414156883e-05
2005-07-01,5.27,0.62,0.71,2.0202020202020203e-05,-2.0875937286980233e-05
2005-07-02,5.44,0.64,0.78,2.010006901311249e-05,-2.0812096500169895e-05
2005-07-03,5.44,0.64,0.71,2.0402001380262253e-05,-2.0812096500169895e-05
2005-07-04,5.27,0.61,0.76,1.998050682261209e-05,-2.091854124062713e-05
2005-07-05,5.27,0.61,0.76,1.998050682261209e-05,-2.091854124062713e-05
2005-07-06,5.43,0.64,0.79,2.004492828754104e-05,-2.082273112807464e-05
2005-07-07,5.25,0.63,0.78,1.986666666666667e-05,-2.0811965811965815e-05
2005-07-08,5.52,0.64,0.73,2.040729379686435e-05,-2.084390326399459e-05
2005-07-09,5.42,0.64,0.78,2.007615091727241e-05,-2.0790729379686432e-05
2005-07-10,5.42,0.67,0.73,2.0292488750432675e-05,-2.066291751874574e-05
2005-07-11,5.25,0.65,0.74,2.0044444444444446e-05,-2.0726495726495726e-05
2005-07-12,5.24,0.61,0.76,1.9943019943019945e-05,-2.0886834446156483e-05
2005-07-13,5.41,0.64,0.73,2.0280811232449298e-05,-2.0833333333333333e-05
2005-07-14,5.25,0.66,0.8,1.9777777777777774e-05,-2.068376068376068e-05
2005-07-15,5.27,0.66,0.8,1.980329611908559e-05,-2.0705521472392637e-05
2005-07-16,5.45,0.65,0.79,2.0068906115417746e-05,-2.0780322307039864e-05
2005-07-17,5.45,0.66,0.73,2.0327304048234283e-05,-2.0737913486005088e-05
2005-07-18,5.44,0.66,0.73,2.0315734989648036e-05,-2.072714916751614e-05
2005-07-19,5.47,0.6,0.75,2.0264468487034175e-05,-2.1033552520654192e-05
2005-07-20,5.35,0.6,0.75,2.0122484689413826e-05,-2.1043771043771045e-05
2005-07-21,5.45,0.59,0.73,2.0327304048234283e-05,-2.1055301877219685e-05
2005-07-22,5.43,0.62,0.72,2.0347330222913423e-05,-2.0907548770144193e-05
2005-07-23,5.35,0.6,0.74,2.016622922134733e-05,-2.099236641221374e-05
2005-07-24,5.35,0.6,0.74,2.016622922134733e-05,-2.099236641221374e-05
2005-07-25,5.23,0.65,0.73,2.0064205457463884e-05,-2.070473251028807e-05
2005-07-26,5.22,0.61,0.76,1.9917827795641298e-05,-2.0865533230293665e-05
2005-07-27,5.22,0.66,0.73,2.0051804215791355e-05,-2.0650867250558128e-05
2005-07-28,5.42,0.59,0.74,2.0249221183800623e-05,-2.102446483180428e-05
2005-07-29,5.3,0.66,0.73,2.0149911816578482e-05,-2.068376068376068e-05
2005-07-30,5.44,0.66,0.73,2.0315734989648036e-05,-2.072714916751614e-05
2005-07-31,5.44,0.66,0.73,2.0315734989648036e-05,-2.072714916751614e-05
2005-08-01,5.27,0.63,0.73,2.0113414850256952e-05,-2.0833333333333333e-05
2005-08-02,5.26,0.6,0.74,2.0056798012069578e-05,-2.0950674176480627e-05
2005-08-03,5.23,0.66,0.8,1.9752095594792224e-05,-2.0661865569272975e-05
2005-08-04,5.23,0.61,0.76,1.9930444087747455e-05,-2.0876200274348424e-05
2005-08-05,5.24,0.6,0.74,2.003205128205128e-05,-2.0929635336414998e-05
2005-08-06,5.4,0.6,0.74,2.0225694444444444e-05,-2.094017094017094e-05
2005-08-07,5.43,0.66,0.84,1.982892690513219e-05,-2.071635188021099e-05
2005-08-08,5.43,0.65,0.79,2.004492828754104e-05,-2.0780322307039864e-05
2005-08-09,5.44,0.63,0.77,2.0143202208419598e-05,-2.085457016649677e-05
2005-08-10,5.39,0.62,0.76,2.0126934446183274e-05,-2.0897043832823645e-05
2005-08-11,5.4,0.59,0.74,2.0225694444444444e-05,-2.0982905982905986e-05
2005-08-12,5.3,0.57,0.72,2.0194003527336863e-05,-2.1119592875318066e-05
2005-08-13,5.4,0.57,0.75,2.018229166666667e-05,-2.1068376068376068e-05
2005-08-14,5.4,0.57,0.75,2.018229166666667e-05,-2.1068376068376068e-05
2005-08-15,5.42,0.63,0.73,2.0292488750432675e-05,-2.0833333333333333e-05
2005-08-16,5.4,0.66,0.73,2.0269097222222225e-05,-2.0791245791245794e-05
2005-08-17,5.42,0.59,0.77,2.0119418483904466e-05,-2.1003749147920925e-05
2005-08-18,5.43,0.66,0.73,2.0304129946431657e-05,-2.0737913486005088e-05
2005-08-19,5.43,0.61,0.76,2.017452911698635e-05,-2.092904543134252e-05
2005-08-20,5.44,0.67,0.85,1.979813664596273e-05,-2.0684675501189263e-05
2005-08-21,5.44,0.66,0.73,2.0315734989648036e-05,-2.072714916751614e-05
2005-08-22,5.25,0.66,0.73,2.008888888888889e-05,-2.068376068376068e-05
2005-08-23,5.44,0.65,0.83,1.988440303657695e-05,-2.076962283384302e-05
2005-08-24,5.24,0.63,0.77,1.9898504273504272e-05,-2.0801232665639447e-05
2005-08-25,5.24,0.66,0.73,2.0076566951566954e-05,-2.0672829994863892e-05
2005-08-26,5.41,0.66,0.73,2.0280811232449298e-05,-2.0694657791431983e-05
2005-08-27,5.41,0.66,0.73,2.0280811232449298e-05,-2.0694657791431983e-05
2005-08-28,5.41,0.69,0.87,1.9674120298145257e-05,-2.0566649598907664e-05
2005-08-29,5.26,0.66,0.73,2.0101171458998935e-05,-2.0694657791431983e-05
2005-08-30,5.4,0.66,0.73,2.0269097222222225e-05,-2.0705521472392637e-05
2005-08-31,5.23,0.61,0.79,1.9796682718031033e-05,-2.0876200274348424e-05
2005-09-01,5.21,0.58,0.73,2.003936303453212e-05,-2.0983832129342966e-05
2005-09-02,5.39,0.59,0.74,2.0213875847678666e-05,-2.0972436226673516e-05
2005-09-03,5.41,0.68,0.74,2.0237476165713297e-05,-2.060931899641577e-05
2005-09-04,5.41,0.68,0.74,2.0237476165713297e-05,-2.060931899641577e-05
2005-09-05,5.37,0.58,0.73,2.0233734519448805e-05,-2.101523711693203e-05
2005-09-06,5.35,0.59,0.74,2.016622922134733e-05,-2.0982905982905986e-05
2005-09-07,5.34,0.58,0.72,2.024185068349106e-05,-2.101523711693203e-05
2005-09-08,5.15,0.63,0.72,2.000903342366757e-05,-2.0703125e-05
2005-09-09,5.2,0.56,0.7,2.0161290322580645e-05,-2.1059431524547804e-05
2005-09-10,5.41,0.59,0.77,2.0107470965505285e-05,-2.0993343573988735e-05
2005-09-11,5.41,0.63,0.72,2.0324146299185298e-05,-2.0822665983956305e-05
2005-09-12,5.23,0.62,0.72,2.0108792580702693e-05,-2.0833333333333333e-05
2005-09-13,5.24,0.65,0.71,2.016559829059829e-05,-2.071563088512241e-05
2005-09-14,5.28,0.61,0.72,2.0169851380042464e-05,-2.092904543134252e-05
2005-09-15,5.4,0.6,0.74,2.0225694444444444e-05,-2.099236641221374e-05
2005-09-16,5.42,0.62,0.76,2.0162686050536518e-05,-2.0897043832823645e-05
2005-09-17,5.45,0.66,0.84,1.9853574504737295e-05,-2.0737913486005088e-05
2005-09-18,5.42,0.6,0.75,2.020595361716857e-05,-2.1013022154574667e-05
2005-09-19,5.26,0.65,0.72,2.0145544905928292e-05,-2.073732718894009e-05
2005-09-20,5.24,0.66,0.8,1.9764957264957263e-05,-2.0672829994863892e-05
2005-09-21,5.24,0.63,0.77,1.9898504273504272e-05,-2.0801232665639447e-05
2005-09-22,5.24,0.6,0.74,2.003205128205128e-05,-2.0929635336414998e-05
2005-09-23,5.24,0.64,0.73,2.0076566951566954e-05,-2.0758431775380932e-05
2005-09-24,5.43,0.63,0.81,1.99585277345775e-05,-2.0843968010889908e-05
2005-09-25,5.39,0.66,0.73,2.0257346548426358e-05,-2.072714916751614e-05
2005-09-26,5.26,0.63,0.73,2.0101171458998935e-05,-2.0822665983956305e-05
2005-09-27,5.25,0.59,0.74,2.0044444444444446e-05,-2.0982905982905986e-05
2005-09-28,5.23,0.6,0.74,2.0019618334225076e-05,-2.091906721536351e-05
2005-09-29,5.23,0.6,0.74,2.0019618334225076e-05,-2.091906721536351e-05
2005-09-30,5.42,0.58,0.73,2.0292488750432675e-05,-2.106693849813116e-05
2005-10-01,5.43,0.66,0.73,2.0304129946431657e-05,-2.071635188021099e-05
2005-10-02,5.43,0.68,0.86,1.9742526352168653e-05,-2.063127445975838e-05
2005-10-03,5.4,0.61,0.76,2.0138888888888892e-05,-2.091854124062713e-05
2005-10-04,5.39,0.64,0.78,2.003999304468788e-05,-2.0779996586448198e-05
2005-10-05,5.39,0.68,0.82,1.9866110241697098e-05,-2.060931899641577e-05
2005-10-06,5.23,0.61,0.76,1.9930444087747455e-05,-2.0876200274348424e-05
2005-10-07,5.39,0.61,0.75,2.017040514693097e-05,-2.090800477897252e-05
2005-10-08,5.36,0.65,0.83,1.978511530398323e-05,-2.070473251028807e-05
2005-10-09,5.36,0.68,0.73,2.022187281621244e-05,-2.0576131687242797e-05
2005-10-10,5.36,0.62,0.76,2.0090845562543675e-05,-2.0833333333333333e-05
2005-10-11,5.22,0.63,0.77,1.9873168988924617e-05,-2.0779666838399453e-05
2005-10-12,5.36,0.65,0.79,1.9959818308874912e-05,-2.070473251028807e-05
2005-10-13,5.36,0.67,0.81,1.987246680642907e-05,-2.061899862825789e-05
2005-10-14,5.23,0.66,0.8,1.9752095594792224e-05,-2.0661865569272975e-05
2005-10-15,5.39,0.65,0.83,1.9822639540949398e-05,-2.071563088512241e-05
2005-10-16,5.39,0.68,0.73,2.0257346548426358e-05,-2.0587228214346856e-05
2005-10-17,5.36,0.63,0.78,2.0003494060097834e-05,-2.079046639231825e-05
2005-10-18,5.19,0.65,0.79,1.9745108598097293e-05,-2.0660800552104905e-05
2005-10-19,5.36,0.62,0.76,2.0090845562543675e-05,-2.0865335381464412e-05
2005-10-20,5.41,0.61,0.75,2.0194141098977297e-05,-2.0960365853658538e-05
2005-10-21,5.38,0.57,0.71,2.0332636711947056e-05,-2.1099200272247746e-05
2005-10-22,5.38,0.66,0.76,2.0114942528735632e-05,-2.071635188021099e-05
2005-10-23,5.38,0.66,0.76,2.0114942528735632e-05,-2.071635188021099e-05
2005-10-24,5.38,0.66,0.76,2.0114942528735632e-05,-2.071635188021099e-05
2005-10-25,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-10-26,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-10-27,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-10-28,5.4,0.59,0.73,2.0269097222222225e-05,-2.1034775233248515e-05
2005-10-29,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-10-30,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-10-31,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-11-01,5.37,0.66,0.76,2.0102912960055816e-05,-2.0705521472392637e-05
2005-11-02,5.37,0.66,0.76,2.0102912960055816e-05,-2.0705521472392637e-05
2005-11-03,5.37,0.6,0.75,2.0146520146520148e-05,-2.0961145194274025e-05
2005-11-04,5.37,0.66,0.76,2.0102912960055816e-05,-2.0705521472392637e-05
2005-11-05,5.37,0.66,0.76,2.0102912960055816e-05,-2.0705521472392637e-05
2005-11-06,5.37,0.66,0.76,2.0102912960055816e-05,-2.0705521472392637e-05
2005-11-07,5.37,0.66,0.76,2.0102912960055816e-05,-2.0705521472392637e-05
2005-11-08,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-11-09,5.4,0.65,0.79,2.0008680555555556e-05,-2.0780322307039864e-05
2005-11-10,5.4,0.62,0.76,2.0138888888888892e-05,-2.0907548770144193e-05
2005-11-11,5.4,0.66,0.76,2.0138888888888892e-05,-2.0737913486005088e-05
2005-11-12,5.4,0.57,0.71,2.035590277777778e-05,-2.1119592875318066e-05
2005-11-13,5.4,0.63,0.7,2.0399305555555557e-05,-2.0865139949109417e-05
2005-11-14,5.23,0.61,0.75,1.9975031210986267e-05,-2.0876200274348424e-05
2005-11-15,5.4,0.63,0.73,2.0269097222222225e-05,-2.0865139949109417e-05
