,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Short Swap AUDNZD
2005-06-28,5.27,6.75,7.0,-7.664362927520825e-06,5.240286298568511e-06
2005-06-29,5.27,6.65,6.95,-7.442849548112708e-06,4.8142467620995285e-06
2005-06-30,5.28,6.6,6.9,-7.165605095541403e-06,4.55164199421473e-06
2005-07-01,5.27,6.78,6.98,-7.5757575757575815e-06,5.368098159509208e-06
2005-07-02,5.44,6.86,6.96,-6.55624568668047e-06,5.6065239551478125e-06
2005-07-03,5.44,6.86,6.96,-6.55624568668047e-06,5.6065239551478125e-06
2005-07-04,5.27,6.65,6.95,-7.442849548112708e-06,4.8142467620995285e-06
2005-07-05,5.27,6.6,6.9,-7.221336168704591e-06,4.601226993865029e-06
2005-07-06,5.43,6.8,7.0,-6.782443407637808e-06,5.301102629346904e-06
2005-07-07,5.25,6.75,7.0,-7.77777777777778e-06,5.341880341880341e-06
2005-07-08,5.52,6.7,6.95,-6.09236537150648e-06,4.777608658887199e-06
2005-07-09,5.42,6.81,6.96,-6.6632052613361e-06,5.4959100204499e-06
2005-07-10,5.42,6.81,6.96,-6.6632052613361e-06,5.4959100204499e-06
2005-07-11,5.25,6.65,6.95,-7.555555555555556e-06,4.914529914529915e-06
2005-07-12,5.24,6.63,6.93,-7.523148148148146e-06,4.879301489470978e-06
2005-07-13,5.41,6.59,6.89,-6.41358987692841e-06,4.361449864498644e-06
2005-07-14,5.25,6.62,6.92,-7.422222222222219e-06,4.786324786324786e-06
2005-07-15,5.27,6.61,6.91,-7.2656388445862165e-06,4.64383094751193e-06
2005-07-16,5.45,6.84,6.94,-6.416881998277347e-06,5.470737913486006e-06
2005-07-17,5.45,6.84,6.94,-6.416881998277347e-06,5.470737913486006e-06
2005-07-18,5.44,6.78,6.93,-6.42684610075914e-06,5.266734624532791e-06
2005-07-19,5.47,6.8,6.95,-6.354113000171733e-06,5.100320350699713e-06
2005-07-20,5.35,6.85,7.0,-7.217847769028872e-06,5.260942760942762e-06
2005-07-21,5.45,6.55,6.85,-6.029285099052539e-06,4.143412819211902e-06
2005-07-22,5.43,6.8,7.0,-6.782443407637808e-06,5.301102629346904e-06
2005-07-23,5.35,6.83,6.98,-7.130358705161858e-06,5.428329092451229e-06
2005-07-24,5.35,6.83,6.98,-7.130358705161858e-06,5.428329092451229e-06
2005-07-25,5.23,6.65,6.95,-7.668985197075083e-06,5.015432098765433e-06
2005-07-26,5.22,6.66,6.91,-7.547338335119687e-06,5.10905031770565e-06
2005-07-27,5.22,6.61,6.91,-7.547338335119687e-06,4.89438433797012e-06
2005-07-28,5.42,6.62,6.92,-6.4901349948078894e-06,4.587155963302756e-06
2005-07-29,5.3,6.84,6.99,-7.451499118165789e-06,5.726495726495725e-06
2005-07-30,5.44,6.87,7.02,-6.815044858523115e-06,5.6489976214746885e-06
2005-07-31,5.44,6.87,7.02,-6.815044858523115e-06,5.6489976214746885e-06
